genus,sp,subsp,state,federal_status,state_status,notes,state_source
Acipenser,transmontanus,NA,Idaho,Endangered,NA,U.S.A. ID MT Canada B.C. Kootenai R. system,NA
Acipenser,transmontanus,NA,Montana,Endangered,NA,USA ID MT Canada BC Kootenai River system,NA
Aconitum,infectum,NA,Arizona,NA,Critically Imperiled,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Aconitum,noveboracense,NA,Iowa,Threatened,NA,NA,NA
Aconitum,noveboracense,NA,New York,Threatened,NA,NA,NA
Aconitum,noveboracense,NA,Ohio,Threatened,NA,NA,NA
Aconitum,noveboracense,NA,Wisconsin,Threatened,NA,NA,NA
Aconitum,noveboracense,NA,Wisconsin,NA,Threatened,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Aconitum,uncinatum,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Acris,crepitans,NA,Wisconsin,NA,Endangered,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Acris,crepitans,NA,Colorado,NA,Special Concern,NA,http://www.mendeley.com/c/5091918642/g/2058663/colorado-species-status-state-listing/
Acrocephalus,familiaris,kingi,Hawaii,Endangered,NA,NA,NA
Acroloxus,coloradensis,NA,Colorado,NA,Special Concern,NA,http://www.mendeley.com/c/5091918642/g/2058663/colorado-species-status-state-listing/
Acronicta,albarufa,NA,Massachusetts,NA,Threatened,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Acropora,cervicornis,NA,Puerto Rico,Threatened,NA,NA,NA
Acropora,cervicornis,NA,Florida,Threatened,NA,NA,NA
Acropora,palmata,NA,Puerto Rico,Threatened,NA,NA,NA
Acropora,palmata,NA,Florida,Threatened,NA,NA,NA
Actaea,racemosa,NA,Massachusetts,NA,Endangered,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Actaea,rubifolia,NA,Alabama,NA,Historical possibly extirpated,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Actinemys,marmorata,NA,Washington,NA,Endangered,NA,http://www.mendeley.com/c/5144569454/g/2058663/washington-state-species-of-concern-lists/
Actinonaias,ligamentina,NA,Kansas,NA,Endangered,NA,http://www.mendeley.com/c/5144552094/g/2058663/kensas-threatened--endangered-species/
Actinonaias,ligamentina,NA,Alabama,NA,Imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Actinonaias,pectorosa,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Actitis,macularius,NA,Maryland,NA,NA,Rare to uncommon,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Adelocosa,anops,NA,Hawaii,Endangered,NA,NA,NA
Adenophorus,periens,NA,Hawaii,Endangered,NA,NA,NA
Adiantum,vivesii,NA,Puerto Rico,Endangered,NA,NA,NA
Adlumia,fungosa,NA,Massachusetts,NA,Special Concern,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Adoxa,moschatellina,NA,Wisconsin,NA,Threatened,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Aechmophorus,clarkii,NA,Washington,NA,Candidate,NA,http://www.mendeley.com/c/5144569454/g/2058663/washington-state-species-of-concern-lists/
Aechmophorus,occidentalis,NA,Washington,NA,Candidate,NA,http://www.mendeley.com/c/5144569454/g/2058663/washington-state-species-of-concern-lists/
Aegolius,acadicus,NA,Maryland,NA,NA,Critically imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Aegolius,acadicus,NA,Tennessee,species of management concern,Threatened,NA,https://www.zotero.org/groups/178496/items/itemKey/ISP6CBBN/q/introduction%20to%20the
Aegolius,funereus,NA,New Mexico,NA,Threatened,NA,http://www.mendeley.com/c/5137922484/g/2058663/new-mexico-state-designated-species-status/
Aeschynomene,virginica,NA,Maryland,Threatened,NA,NA,NA
Aeschynomene,virginica,NA,North Carolina,Threatened,NA,NA,NA
Aeschynomene,virginica,NA,Pennsylvania,Threatened,NA,NA,NA
Aeschynomene,virginica,NA,Virginia,Threatened,NA,NA,NA
Aeschynomene,virginica,NA,Deleware,Threatened,NA,NA,NA
Aeschynomene,virginica,NA,New Jersey,Threatened,NA,NA,NA
Aeshna,canadensis,NA,Maryland,NA,NA,Imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Aeshna,constricta,NA,Maryland,NA,NA,Historically known; unverified for 20 years,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Aeshna,mutata,NA,Wisconsin,NA,Threatened,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Aeshna,subarctica,NA,Massachusetts,NA,Endangered,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Aeshna,tuberculifera,NA,Maryland,NA,NA,Imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Aeshna,verticalis,NA,Maryland,NA,NA,Imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Aflexia,rubranura,NA,Wisconsin,NA,Endangered,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Agalinis,acuta,NA,Maryland,Endangered,NA,NA,NA
Agalinis,acuta,NA,Massachusetts,Endangered,NA,NA,NA
Agalinis,acuta,NA,New York,Endangered,NA,NA,NA
Agalinis,acuta,NA,Rhode Island,Endangered,NA,NA,NA
Agalinis,acuta,NA,Connecticut,Endangered,NA,NA,NA
Agalinis,acuta,NA,Massachusetts,NA,Endangered,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Agalinis,aphylla,NA,Alabama,NA,Imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Agalinis,auriculata,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Agalinis,divaricata,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Agalinis,filicaulis,NA,Alabama,NA,Imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Agalinis,gattingeri,NA,Alabama,NA,Historical possibly extirpated,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Agalinis,georgiana,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Agalinis,heterophylla,NA,Alabama,NA,Imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Agalinis,linifolia,NA,Alabama,NA,Imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Agalinis,oligophylla,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Agalinus,gattingeri,NA,Wisconsin,NA,Threatened,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Agalinus,skinneriana,NA,Wisconsin,NA,Endangered,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Agastache,nepetoides,NA,Wisconsin,NA,Threatened,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Agastache,nepetoides,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Agastache,scrophulariifolia,NA,Massachusetts,NA,Endangered,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Agave,arizonica,NA,Arizona,NA,SHYB,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,chrysantha,NA,Arizona,NA,Apparently Secure,Secure,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,delamateri,NA,Arizona,NA,Imperiled,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,mckelveyana,NA,Arizona,NA,Apparently Secure,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,murpheyi,NA,Arizona,NA,Imperiled,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,parviflora,NA,Arizona,NA,Vulnerable,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,parviflora,parviflora,Arizona,NA,Vulnerable,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,schottii,treleasei,Arizona,NA,Critically Imperiled,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,toumeyana,bella,Arizona,NA,Vulnerable,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,utahensis,kaibabensis,Arizona,NA,Vulnerable,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agelaius,xanthomus,NA,Puerto Rico,Endangered,NA,NA,NA
Ageratina,aromatica,NA,Massachusetts,NA,Endangered,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Agkistrodon,contortrix,NA,Massachusetts,NA,Endangered,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Agnorisma,bollii,NA,Maryland,NA,NA,Uncertain status,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Agonum,belleri,NA,Washington,NA,Candidate,NA,http://www.mendeley.com/c/5144569454/g/2058663/washington-state-species-of-concern-lists/
Agosia,chrysogaster,NA,Arizona,NA,Vulnerable,Apparently Secure,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agosia,chrysogaster,chrysogaster,Arizona,NA,Vulnerable,Apparently Secure,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agosia,chrysogaster,ssp,Arizona,NA,Critically Imperiled,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agrimonia,incisa,NA,Alabama,NA,Imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Agrimonia,parviflora,NA,Massachusetts,NA,Endangered,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Agrimonia,pubescens,NA,Massachusetts,NA,Threatened,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Aimophila,aestivalis,NA,Georgia,NA,Rare,NA,http://www.mendeley.com/c/5144545934/g/2058663/protected-species-lists-of-georgia/
Aimophila,aestivalis,NA,Maryland,NA,Endangered/Extirpated,Historically known; unverified for 20 years,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Aimophila,aestivalis,NA,Alabama,NA,Rare or uncommon,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Aimophila,aestivalis,NA,Texas,NA,Threatened,NA,http://www.mendeley.com/c/5144559874/g/2058663/texas-federalstate-threatened-and-endangered-species/
Aimophila,aestivalis,NA,Virginia,NA,Threatened,NA,http://www.mendeley.com/c/5144547734/g/2058663/special-legal-status-faunal-species-in-virginia/
Aimophila,botterii,arizonae,Texas,NA,Threatened,NA,http://www.mendeley.com/c/5144559874/g/2058663/texas-federalstate-threatened-and-endangered-species/
Aimophila,botterii,texana,Texas,NA,Threatened,NA,http://www.mendeley.com/c/5144559874/g/2058663/texas-federalstate-threatened-and-endangered-species/
Ajaia,ajaja,NA,Florida,NA,Species of special concern,NA,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Alabamocreagris,mortis,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Alabamocreagris,pecki,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Alasmidonta,arcula,NA,Georgia,NA,Threatened,NA,http://www.mendeley.com/c/5144545934/g/2058663/protected-species-lists-of-georgia/
Alasmidonta,atropurpurea,NA,Kentucky,Endangered,NA,NA,NA
Alasmidonta,atropurpurea,NA,Tennessee,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,Maryland,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,Massachusetts,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,New Hampshire,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,New York,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,North Carolina,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,Pennsylvania,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,Vermont,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,Virginia,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,Connecticut,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,Deleware,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,District of Columbia,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,Maryland,NA,Endangered,Critically imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Alasmidonta,heterodon,NA,Massachusetts,NA,Endangered,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Alasmidonta,heterodon,NA,New Hampshire,NA,Endangered,NA,http://www.mendeley.com/c/5093636202/g/2058663/new-hampshire-species-status-state-listing/
Alasmidonta,heterodon,NA,New Jersey,Endangered,NA,NA,NA
Alasmidonta,heterodon,NA,Virginia,NA,Endangered,NA,http://www.mendeley.com/c/5144547734/g/2058663/special-legal-status-faunal-species-in-virginia/
Alasmidonta,marginata,NA,Kansas,NA,Endangered,NA,http://www.mendeley.com/c/5144552094/g/2058663/kensas-threatened--endangered-species/
Alasmidonta,marginata,NA,Alabama,NA,Presumed extirpated,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Alasmidonta,raveneliana,NA,North Carolina,Endangered,NA,NA,NA
Alasmidonta,raveneliana,NA,Tennessee,Endangered,NA,NA,NA
Alasmidonta,triangulata,NA,Georgia,NA,Endangered,NA,http://www.mendeley.com/c/5144545934/g/2058663/protected-species-lists-of-georgia/
Alasmidonta,triangulata,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Alasmidonta,undulata,NA,Maryland,NA,Endangered,Critically imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Alasmidonta,undulate,NA,Alabama,NA,Rare or uncommon,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Alasmidonta,Varicosa,NA,Maryland,NA,Endangered,Critically imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Alasmidonta,varicosa,NA,Massachusetts,NA,Endangered,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Alasmidonta,varicosa,NA,New Hampshire,NA,Endangered,NA,http://www.mendeley.com/c/5093636202/g/2058663/new-hampshire-species-status-state-listing/
Alasmidonta,varicosa,NA,Virginia,NA,Endangered,NA,http://www.mendeley.com/c/5144547734/g/2058663/special-legal-status-faunal-species-in-virginia/
Alasmidonta,viridis,NA,Wisconsin,NA,Threatened,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Alasmidonta,viridis,NA,Alabama,NA,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Alasmidonta,viridis,NA,Virginia,NA,Endangered,NA,http://www.mendeley.com/c/5144547734/g/2058663/special-legal-status-faunal-species-in-virginia/
Alectryon,macrococcus,NA,Hawaii,Endangered,NA,NA,NA
Alligator,mississippiensis,NA,Florida,NA,Species of special concern,NA,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Allium,bigelovii,NA,Arizona,NA,Imperiled,Vulnerable,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Allium,glandulosum,NA,Arizona,NA,Critically Imperiled,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Allium,gooddingii,NA,Arizona,NA,Vulnerable,Apparently Secure,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Allium,munzii,NA,California,Endangered,NA,NA,NA
Allium,parishii,NA,Arizona,NA,Critically Imperiled,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Allium,plummerae,NA,Arizona,NA,Vulnerable,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Allium,rhizomatum,NA,Arizona,NA,Critically Imperiled,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Allium,speculae,NA,Georgia,NA,Threatened,NA,http://www.mendeley.com/c/5144545934/g/2058663/protected-species-lists-of-georgia/
Allium,speculae,NA,Alabama,NA,Imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Allium,tricoccum,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Alnus,maritima,georgiensis,Georgia,NA,Threatened,NA,http://www.mendeley.com/c/5144545934/g/2058663/protected-species-lists-of-georgia/
Alnus,viridis,crispa,Massachusetts,NA,Threatened,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Alopecurus,aequalis,sonomensis,California,Endangered,NA,NA,NA
Alosa,aestivalis,NA,New Hampshire,NA,Near-threatened,NA,http://www.mendeley.com/c/5093651382/g/2058663/new-hampshire-species-status-state-listing-for-species-of-special-concern/
Alosa,alabamae,NA,Georgia,NA,Threatened,NA,http://www.mendeley.com/c/5144545934/g/2058663/protected-species-lists-of-georgia/
Alosa,alabamae,NA,Alabama,NA,Imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Alosa,chrysochloris,NA,Wisconsin,NA,Endangered,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Alosa,psuedoharengus,NA,New Hampshire,NA,Near-threatened,NA,http://www.mendeley.com/c/5093651382/g/2058663/new-hampshire-species-status-state-listing-for-species-of-special-concern/
Alosa,sapidissima,NA,New Hampshire,NA,Near-threatened,NA,http://www.mendeley.com/c/5093651382/g/2058663/new-hampshire-species-status-state-listing-for-species-of-special-concern/
Alsinidendron,lychnoides,NA,Hawaii,Endangered,NA,NA,NA
Alsinidendron,obovatum,NA,Hawaii,Endangered,NA,NA,NA
Alsinidendron,trinerve,NA,Hawaii,Endangered,NA,NA,NA
Alsinidendron,viscosum,NA,Hawaii,Endangered,NA,NA,NA
Amaranthus,brownii,NA,Hawaii,Endangered,NA,NA,NA
Amaranthus,pumilus,NA,Maryland,Threatened,NA,NA,NA
Amaranthus,pumilus,NA,Massachusetts,Threatened,NA,NA,NA
Amaranthus,pumilus,NA,New York,Threatened,NA,NA,NA
Amaranthus,pumilus,NA,North Carolina,Threatened,NA,NA,NA
Amaranthus,pumilus,NA,Rhode Island,Threatened,NA,NA,NA
Amaranthus,pumilus,NA,South Carolina,Threatened,NA,NA,NA
Amaranthus,pumilus,NA,Virginia,Threatened,NA,NA,NA
Amaranthus,pumilus,NA,Deleware,Threatened,NA,NA,NA
Amaranthus,pumilus,NA,New Jersey,Threatened,NA,NA,NA
Amazilia,violiceps,NA,New Mexico,NA,Threatened,NA,http://www.mendeley.com/c/5137922484/g/2058663/new-mexico-state-designated-species-status/
Amazona,vittata,NA,Puerto Rico,Endangered,NA,NA,NA
Amblema,elliottii,NA,Alabama,NA,Rare or uncommon,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Amblema,neislerii,NA,Georgia,NA,Endangered,NA,http://www.mendeley.com/c/5144545934/g/2058663/protected-species-lists-of-georgia/
Amblema,neislerii,NA,Florida,Endangered,NA,NA,NA
Amblema,neislerii,NA,Georgia,Endangered,NA,NA,NA
Amblema,plicata,NA,Alabama,NA,Demonstrably secure,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Amblema,plicata,NA,North Dakota,NA,Need for conservation; little support,NA,http://www.mendeley.com/c/5144556444/g/2058663/north-dakota-species-of-convervation-priority/
